date,venue,address,facebook_link,visible
2025-12-14,Église Saint-Michel Ferrery de Lardenne,"207 avenue de Lardenne, 31100 Toulouse",https://www.facebook.com/events/879379571206384,true
2025-06-11,Église Saint-Jérôme de Toulouse,"4 rue du Lieutenant-Colonel Pélissier, 31000 Toulouse",https://www.facebook.com/events/959371346155344/,true
2025-01-12,Complexe culturel l'Arpège,"53 place du 11 Novembre 1918, 31330 Merville",https://www.facebook.com/events/384545054715884,true
2024-11-08,Temple du Salin,"4 impasse de la trésorerie, 31000 Toulouse",https://www.facebook.com/events/559191313261794,true
